sublot_name,primary_axis,secondary_axis
COOP:458207:SUNNYSIDE WA US,1,0
COOP:452030:DAYTON 1 WSW WA US,1,0
COOP:456114:OLYMPIA AIRPORT WA US,1,0
COOP:455946:NORTHPORT WA US,1,0
COOP:458773:VANCOUVER 4 NNE WA US,1,0
COOP:451759:COUGAR 4 SW WA US,1,0
COOP:454679:LIND 3 NE WA US,1,0
COOP:457473:SEATTLE TACOMA INTERNATIONAL AIRPORT WA US,1,0
COOP:451630:COLVILLE WA US,1,0
COOP:458059:STEHEKIN 4 NW WA US,1,0
COOP:457585:SHELTON SANDERSON FIELD WA US,1,0
COOP:451160:CARSON FISH HATCHERY WA US,1,0
COOP:456982:REPUBLIC RANGER STATION WA US,1,0
COOP:456789:PULLMAN 2 NW WA US,1,0
COOP:453515:HARRINGTON 1 NW WA US,1,0
COOP:452064:DEER PARK AIRPORT WA US,1,0
COOP:452384:EASTON WA US,1,0
COOP:457938:SPOKANE INTERNATIONAL AIRPORT WA US,1,0
COOP:451968:THE DALLES MUNICIPAL AIRPORT WA US,1,0
COOP:459465:YAKIMA AIR TERMINAL WA US,1,0
COOP:452505:ELLENSBURG WA US,1,0
COOP:455731:NACHES 10 NW WA US,1,0
COOP:452614:EPHRATA MUNICIPAL AIRPORT WA US,1,0
COOP:453183:GLENWOOD WA US,1,0
COOP:456858:QUILLAYUTE STATE AIRPORT WA US,1,0
COOP:454154:KENNEWICK WA US,1,0
COOP:451400:CHIEF JOSEPH DAM WA US,1,0
COOP:458009:STAMPEDE PASS WA US,1,0
COOP:459082:WENATCHEE PANGBORN AIRPORT WA US,1,0
COOP:459200:WHITMAN MISSION WA US,1,0
